"grade","accuracy","correct","total","change"
"PSA_1",67.7316293929712,636,939,-2.86837060702875
"PSA_2",73.5873850197109,560,761,39.0873850197109
"PSA_3",55.0970873786408,681,1236,-14.3029126213592
"PSA_4",60.7014388489209,675,1112,-13.6985611510791
"PSA_5",67.8666666666667,509,750,40.8666666666667
"PSA_6",25.3196930946292,396,1564,-31.5803069053708
"PSA_7",35.0263852242744,531,1516,-12.0736147757256
"PSA_8",73.98091934085,853,1153,45.28091934085
"PSA_9",26.867816091954,374,1392,-23.332183908046
"PSA_10",56.6170712607674,723,1277,-8.68292873923257
