"grade","exact_match_pct","correct","total","improvement"
"PSA_1",59.378733572282,497,837,-11.221266427718
"PSA_2",77.760736196319,507,652,43.260736196319
"PSA_3",42.7812223206377,483,1129,-26.6187776793623
"PSA_4",47.4120082815735,458,966,-26.9879917184265
"PSA_5",68.8498402555911,431,626,41.8498402555911
"PSA_6",12.2549019607843,175,1428,-44.6450980392157
"PSA_7",28.1318681318681,384,1365,-18.9681318681319
"PSA_8",74.0336967294351,747,1009,45.3336967294351
"PSA_9",19.8498748957465,238,1199,-30.3501251042535
"PSA_10",42.8969359331476,462,1077,-22.4030640668524
